Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;20K9923AV092;ABP. APRENDIZAJE BASADO EN PROYECTOS (SECUNDARIA Y BACHILLERATO);Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
29200026-CEP Marbella - Coín;20W9923AV092;ABP. APRENDIZAJE BASADO EN PROYECTOS (SECUNDARIA Y BACHILLERATO);Curso a Distancia;Actividad en desarrollo;15/04/2020;27/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GEJ006;MATRICULA ELECTRONICA, COMUNICACIÓN CON FAMILIAS MEDIANTE IPASEN Y PROTECCIÓN DE DATOS;Jornadas;Terminada;18/02/2020;19/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GEJ251;EL ARTE DE PREGUNTAR;Jornadas;Borrador;19/05/2020;20/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GEJ555;XII JORNADAS EDUCATIVAS DE BENALMÁDENA: APRENDIZAJE EN EL SIGLO XXI: FAMILIA Y ESCUELA;Jornadas;Terminada;06/02/2020;06/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GEJ851;MATEMATIZATE;Jornadas;Suspendida;17/02/2020;19/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GEJ852;XI JORNADA EDUCO-PREVENTIVA: INNOVACIÓN EDUCATIVA;Jornadas;Terminada;15/11/2019;16/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GEJ853;XII FERIA DE LA CIENCIA IBN AL-BAYTAR;Jornadas;Suspendida;29/04/2020;29/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES001;GESTION DE CENTROS PUBLICOS: CIERRE Y APERTURA DE EJERCICIO ECONOMICO, REGISTRO ELECTRONICO Y CONTRATACION;Curso con Seguimiento;Terminada;19/09/2019;10/10/2019;Equipos directivos
29200026-CEP Marbella - Coín;202923GES002;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA ALHAURIN);Curso con Seguimiento;Terminada;14/01/2020;20/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES004;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA ESTEPONA-MANILVA);Curso con Seguimiento;Terminada;28/01/2020;20/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES005;YOGA PARA EDUCAR;Curso con Seguimiento;Terminada;08/01/2020;20/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES007;I FERIA STEAM EN ESTEPONA Y EN FUENGIROLA;Curso con Seguimiento;Suspendida;05/03/2020;30/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES101;EVALUACIÓN: PORFOLIO Y METACOGNICIÓN;Curso con Seguimiento;Terminada;14/01/2020;15/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES151;BIOTECNOLOGÍA PARA PROFESORADO DE FORMACIÓN PROFESIONAL;Curso;Terminada;10/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES155;PROGRAMACIÓN Y EVALUACIÓN EN F.P.;Curso;Terminada;09/10/2019;08/11/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES156;¿CÓMO IMPLEMENTAMOS NUESTRO PROYECTO DE DUAL?;Curso;Terminada;30/09/2019;14/10/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES157;PROGRAMACIÓN Y EVALUACIÓN EN F.P. (EXCLUSIVO PROFESORADO DE TARDE);Curso;Terminada;16/10/2019;06/11/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES159;ESTILISMO MASCULINO: PASADO, PRESENTE Y FUTURO;Curso;Terminada;23/11/2019;23/11/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES161;GAMIFICACIÓN EN FORMACIÓN PROFESIONAL;Curso;Suspendida;01/02/2020;29/02/2020;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES162;ELABORACIÓN DE PROYECTOS DE INNOVACIÓN PARA F.P.;Curso;Actividad en desarrollo;13/02/2020;31/03/2020;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES163;ACTUALIZACIÓN LABORAL Y SISTEMA RED (ADMON Y FINANZAS);Curso;Suspendida;16/01/2020;28/02/2020;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES164;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA ARROYO DE LA MIEL);Curso con Seguimiento;Terminada;15/01/2020;29/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES165;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA SAN PEDRO DE ALCÁNTARA);Curso con Seguimiento;Suspendida;05/12/2019;19/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES166;DISCIPLINA POSITIVA Y NEUROCIENCIA PARA DOCENTES (ZONA ESTEPONA);Curso con Seguimiento;Terminada;14/01/2020;18/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES167;DOMÓTICA LIBRE;Curso;Terminada;21/11/2019;19/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES168;III JORNADAS FP REGIONALES;Curso;Suspendida;02/05/2020;22/05/2020;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES169;MARKETING DIGITAL Y REDES SOCIALES;Curso;Terminada;18/11/2019;06/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GES251;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES;Curso con Seguimiento;Terminada;05/02/2020;05/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES252;DISEÑO Y PUESTA EN MARCHA DE UN PROGRAMA DE MEDIACIÓN ESCOLAR EN CEIPS;Curso con Seguimiento;Terminada;21/11/2019;14/01/2020;Educación primaria
